کارکرد,مدل (سال تولید),رنگ,برند و تیپ,نوع سوخت,وضعیت موتور,وضعیت شاسی‌ها,وضعیت بدنه,مهلت بیمهٔ شخص ثالث,گیربکس,قیمت پایه,شاسی جلو,شاسی عقب,نمایشگاه,نوع آگهی,مایل به معاوضه,حداقل مبلغ پیش‌پرداخت,مبلغ هر قسط,تعداد اقساط,فروشنده
۳۰۰٬۰۰۰,۱۳۸۳,نقره‌ای,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی,۹ ماه,دنده‌ای,۱۸۶٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۴۶٬۰۰۰,۱۴۰۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,,صافکاری بی‌رنگ,۱ ماه,دنده‌ای,۳۸۵٬۰۰۰٬۰۰۰ تومان,ضربه‌خورده,سالم و پلمپ,,,,,,,
۱۸٬۶۰۰,۱۳۹۹,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۱۱ ماه,دنده‌ای,۴۳۲٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۵۱٬۰۰۰,۱۳۸۸,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۹ ماه,دنده‌ای,۲۶۸٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۲۰۰٬۰۰۰,۱۳۹۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,رنگ‌شدگی، در ۲ ناحیه,۱۰ ماه,دنده‌ای,۲۹۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۳۱٬۰۰۰,۱۴۰۰,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۴ ماه,دنده‌ای,۴۴۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۹۷٬۰۰۰,۱۳۹۷,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,۳۵۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۷۵٬۰۰۰,۱۳۹۶,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,سالم و بی‌خط و خش,۸ ماه,دنده‌ای,۳۹۰٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۴۰۰٬۰۰۰,۱۳۸۱,سفید,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,خط و خش جزیی,۱۰ ماه,دنده‌ای,۲۰۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
۳۳۰٬۰۰۰,۱۳۸۶,بژ,پژو 206 تیپ ۲,بنزینی,سالم,سالم و پلمپ,دوررنگ,۱۱ ماه,دنده‌ای,۲۱۵٬۰۰۰٬۰۰۰ تومان,,,,,,,,,
